id;title;description;image_url;deal_url;highlight;posted_by;posted_date;start_date;end_date;original_price;current_price;price_tag;discount;discount_type;active;approved;country;city;pin_code;merchant;category;tags;brand;expired
1;Florida Borders;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;monitor non-volatile interface;interface;sensor virtual;indexing info-mediaries;white integrate;Gabon turn-key Ergonomic;input;Greens Garden Principal;hierarchy;back-end program;Metal Borders;false;Finland;Port Roslynmouth;Ohio Riel Account;Tanzania Handcrafted connect;Kids functionalities;deposit Lilangeni HDD;backing;false
2;Mobility Brand Incredible;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sensor;North panel;Bike Steel deliverables;lime Barthelemy;bypassing;Bedfordshire;Liaison real-time;high-level ROI;Factors applications;Small Multi-channelled;productivity;false;Burkina Faso;South Sean;XML;Yuan;Account leading-edge Fantastic;Buckinghamshire User-centric Gourde;architecture bluetooth Steel;false
3;up Route withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Checking magenta;Franc;Leu;Books;Internal;wireless Cotton;client-driven;e-services Soap SDD;e-commerce;yellow Quality protocol;Frozen Innovative Carolina;false;Niger;South Lloydland;Versatile invoice;Global;Ways Cotton;purple Soft;monitoring Expressway;false
4;Future Buckinghamshire Cotton;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;connect tan;copy Towels brand;applications Games;magenta Luxembourg systemic;overriding forecast white;AGP Chicken;Sausages parsing Electronics;Car;Cheese port action-items;Customer applications payment;Borders;true;Georgia;Nashua;Southern Kids;upward-trending Self-enabling;payment;enable Yemeni Chips;Applications;true
5;Product;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Massachusetts Monitored;fuchsia Jewelery;tan Junction;Metal;withdrawal;convergence;IB Hungary;program;e-business;Clothing cyan Operations;deposit Beauty IB;false;Nepal;Lake Oswaldoshire;pixel;deposit content open-source;zero input next-generation;XML evolve generate;User-centric;false
6;users frictionless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;B2C Sausages Adaptive;Rufiyaa web-enabled invoice;Tanzanian e-markets;withdrawal content Dobra;platforms 3rd Table;state;Chicken connect deposit;deposit;target;Cotton open-source Advanced;Berkshire;true;Latvia;New Gladyceview;Granite;Toys invoice;Burgs Gloves;Granite tolerance Gloves;grey Cotton;false
7;Mountains;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;yellow;haptic;Kids Wyoming Nevada;invoice paradigms Market;quantify Balanced wireless;firewall;Leu;Forges Quality Kenya;Fiji transmit;Avon;Concrete;true;Tokelau;Bruentown;Supervisor e-business;Borders user-facing;Keyboard;Rubber markets;Future Associate;false
8;e-business;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Tasty Enhanced Cambodia;Implementation models;Poland GB Account;deposit;Inlet International;Land;Cambridgeshire;white;Israel green;matrix Handcrafted;Fresh Applications schemas;false;Isle of Man;East Melynaberg;Lev Beauty;Steel Locks Incredible;Metal;Fully-configurable client-driven;Computers Fresh;false
9;Pants;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;neural;Granite Grocery whiteboard;Egypt override Port;Gibraltar Computers;Iowa sky grey;purple;Analyst;1080p;Exclusive e-enable;Director Corporate;sky quantifying;true;Turkmenistan;East Aglae;Account grey Global;web-enabled;Vermont;deliverables Future Account;scalable transmit parsing;false
10;Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Facilitator user-centric;Metrics magnetic Awesome;systems Berkshire bypassing;digital;feed;Market;RSS Spurs;bypassing Sports Account;software;microchip;Ukraine Multi-tiered;true;Estonia;Pittsburg;Place;systemic;deploy Beauty;Causeway Plaza deposit;Home bypassing bypass;true
