id;title;sub_title;status;country;start_date;end_date;image_url;merchant_icon;deal_url;tags
1;Metal Producer withdrawal;sensor;Indiana end-to-end;Paraguay;Dynamic Tools;loyalty;object-oriented drive;copying multi-state virtual;../fake-data/blob/hipster.txt;Gloves
2;Global;New;homogeneous;Niue;neural;multi-byte;Pula Operations Chips;Berkshire reboot;../fake-data/blob/hipster.txt;utilize Account Planner
3;expedite;Integrated;optimal Hat Wyoming;Bouvet Island (Bouvetoya);Alabama payment;withdrawal hour Music;Grenada;paradigms;../fake-data/blob/hipster.txt;Outdoors Infrastructure PCI
4;Business-focused;pricing;Berkshire Associate;Azerbaijan;Garden Adaptive Metrics;deliver improvement red;calculating Cloned holistic;Polarised Advanced Engineer;../fake-data/blob/hipster.txt;end-to-end
5;Luxembourg solution;Malta Rwanda;lime Digitized;Nicaragua;Towels Web;(Chagos;neutral;grid-enabled Road;../fake-data/blob/hipster.txt;quantifying Pizza
6;green;Baby;Sausages deploy;Turkmenistan;Naira;Pennsylvania Music Focused;interactive SCSI;back cross-platform Plastic;../fake-data/blob/hipster.txt;Bacon copying fuchsia
7;Dinar Identity;green;Peso;Malaysia;Handmade Organic navigate;infomediaries Car;Wooden hacking Fresh;multi-byte Identity;../fake-data/blob/hipster.txt;Cambridgeshire hub Lead
8;Representative backing;Personal;matrix circuit Sleek;Cocos (Keeling) Islands;Architect;Chief;Toys;Borders;../fake-data/blob/hipster.txt;Borders
9;Administrator Future;channels Dinar optimize;Beauty Identity withdrawal;Eritrea;Cedi Direct;Pants Administrator;bypass;Intelligent;../fake-data/blob/hipster.txt;Books
10;Honduras;Functionality;Cambridgeshire open-source;Bangladesh;Gloves SSL;Drives Soft Synergistic;Concrete Central Human;infrastructures invoice;../fake-data/blob/hipster.txt;Identity
